"phecode","phecode_string","LB_cat"
100.2,"Malignant neoplasm of the oropharynx","Neoplasms"
100.3,"Malignant neoplasm of the nasopharynx","Neoplasms"
100.4,"Malignant neoplasm of the hypopharynx","Neoplasms"
100.5,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses","Neoplasms"
100,"Malignant neoplasm of the head and neck","Neoplasms"
171.9,"Elevated white blood cell count [Leukocytosis] NOS","Blood"
116.1,"Secondary malignancy of lymph nodes","Neoplasms"
116.2,"Secondary malignancy of respiratory organs","Neoplasms"
116.3,"Secondary malignant neoplasm of digestive systems","Neoplasms"
116.4,"Secondary malignant neoplasm of liver","Neoplasms"
116.5,"Secondary malignancy of brain/spine","Neoplasms"
116.6,"Secondary malignancy of bone","Neoplasms"
101.61,"Malignant neoplasm of the liver","Neoplasms"
168.2,"Hyper-coagulability","Blood"
204.4,"Prediabetes*","Endo"
200.44,"Chronic thyroiditis","Endo"
200.45,"Drug-induced/iatrogenic thyroiditis","Endo"
200.41,"Hashimoto thyroiditis [Chronic lymphocytic thyroiditis]","Endo"
200.42,"Acute thyroiditis","Endo"
209.3,"Hypothalamic dysfunction*","Endo"
209.1,"Pituitary hyperfunction","Endo"
209.2,"Hypopituitarism","Endo"
211.1,"Adrenal hyperfunction","Endo"
211.2,"Adrenocortical insufficiency","Endo"
210,"Cushing's syndrome","Endo"
211.12,"Secondary hyperaldosteronism","Endo"
211.3,"Adrenogenital disorders","Endo"
215.1,"Testicular hypofunction","Endo"
171.7,"Eosinophilia","Blood"
171,"Increased white blood cell count","Blood"
247.51,"Hypocalcemia","Metab"
179.1,"Hypogammaglobulinemia NOS","Blood"
179.4,"Selective deficiency of immunoglobulin A [IgA]","Blood"
179.2,"Hyperimmunoglobulin E [IgE] syndrome*","Blood"
804,"Other symptoms and signs involving the circulatory and respiratory system","Signs/Symptoms"
"B239","Body mass index [BMI], adult","Stat"
168.18,"Other nonthrombocytopenic purpura","Blood"
894,"Symbolic dysfunction","Dev"
750.6,"Congenital hydrocephalus","Cong"
122.24,"T-cell lymphoma","Neoplasms"
124.7,"Chronic myeloproliferative disease","Neoplasms"
122.25,"Anaplastic large cell lymphoma","Neoplasms"
114.45,"Carcinoid tumor of the kidney","Neoplasms"
114.11,"Exocrine pancreatic cancer","Neoplasms"
169.15,"Heparin-induced thrombocytopenia [HIT]","Blood"
169.14,"Secondary thrombocytopenia","Blood"
288.2,"Panic disorder [episodic paroxysmal anxiety]","Mental"
288.3,"Generalized anxiety disorder","Mental"
288.4,"Phobic disorders","Mental"
280.1,"Alcohol use disorders","Mental"
280.2,"Opioid related disorders","Mental"
325.1,"Abnormal involuntary movements","Neuro"
325,"Symptoms and signs related to movement disorders","Neuro"
256.2,"Hyposmolality and/or hyponatremia","Metab"
247.82,"Manganese deficiency*","Metab"
247.8,"Mineral deficiencies","Metab"
247.83,"Chromium deficiency*","Metab"
247.84,"Molybdenum deficiency*","Metab"
349.2,"Abnormal results of function studies of peripheral nervous system","Neuro"
349.14,"White matter disease, unspecified*","Neuro"
330.1,"Epilepsy","Neuro"
330.11,"Generalized epilepsy","Neuro"
330.12,"Partial epilepsy","Neuro"
330.3,"Convulsions","Neuro"
139.53,"Lipoma of other skin subcutaneous tissue","Neoplasms"
380.13,"Optic nerve hypoplasia","Eye"
468.25,"Pneumonia due to Streptococcus","Resp"
468.26,"Pneumonia due to Staphylococcus","Resp"
468.21,"Pneumococcal pneumonia","Resp"
468.22,"Pneumonia due to Klebsiella pneumoniae","Resp"
468.23,"Pneumonia due to Pseudomonas","Resp"
468.24,"Pneumonia due to Hemophilus influenzae","Resp"
381.7,"Cyclotropia","Eye"
381.32,"Accommodative esotropia","Eye"
375.112,"Pigmentary glaucoma","Eye"
387.8,"Disorders of accommodation","Eye"
384.3,"Mydriasis","Eye"
386.7,"Impaired contrast sensitivity*","Eye"
383,"Irregular eye movements","Eye"
386.4,"Visual field defects","Eye"
388,"Blindness and low vision","Eye"
379.2,"Eye infection, viral","Eye"
360.5,"Noninfectious dermatoses of eyelid","Eye"
360.53,"Allergic dermatitis of eyelid","Eye"
360.1,"Hordeolum","Eye"
360.2,"Chalazion","Eye"
363.1,"Dacryoadenitis","Eye"
363.2,"Dry eye syndrome [Tear film insufficiency]","Eye"
369.5,"Hereditary corneal dystrophies","Eye"
369.51,"Endothelial corneal dystrophy [Fuchs' dystrophy]","Eye"
369.4,"Corneal degenerations","Eye"
369.1,"Corneal scars and opacities","Eye"
369.2,"Corneal edema","Eye"
391.1,"Otitis media","Hearing"
391.2,"Eustachian tube disorders","Hearing"
391.11,"Acute otitis media","Hearing"
391.3,"Adhesive middle ear disease [Glue ear]","Hearing"
396.8,"Deaf nonspeaking, not elsewhere classified","Hearing"
391.5,"Abnormalities of ear ossicles","Hearing"
169.13,"Congenital and hereditary thrombocytopenic purpura","Blood"
396.6,"Transient ischemic deafness","Hearing"
392,"Otalgia [ear pain]","Hearing"
391.9,"Otorrhea","Hearing"
468.5,"Fungal pneumonia","Resp"
468.1,"Viral pneumonia","Resp"
468.2,"Bacterial pneumonia","Resp"
334.1,"Trigeminal nerve disorders [CN5]","Neuro"
334.2,"Facial nerve disorders and weakness","Neuro"
335.1,"Nerve plexus lesions","Neuro"
335.2,"Nerve root lesions","Neuro"
321.14,"Acute disseminated encephalitis and encephalomyelitis (ADEM)","Neuro"
169.12,"Evans syndrome","Blood"
829.2,"Abnormal level of blood mineral*","Signs/Symptoms"
829.1,"Abnormal blood-gas level","Signs/Symptoms"
481.4,"Pulmonary fibrosis","Resp"
481.5,"Lymphangioleiomyomatosis","Resp"
481.6,"Lymphoid interstitial pneumonia","Resp"
481.2,"Alveolar proteinosis","Resp"
462.1,"Acute sinusitis","Resp"
465.2,"Chronic Pharyngitis","Resp"
467.2,"Chronic laryngitis and tracheitis","Resp"
495,"Abnormal findings on diagnostic imaging of lung","Resp"
498.2,"Cyanosis","Resp"
492,"Tracheoesophageal fistula","Resp"
486.5,"Abnormal sputum","Resp"
891.3,"Specific developmental disorder of motor function","Dev"
232.22,"Riboflavin deficiency [Vitamin B2]","Metab"
750.62,"Atresia of foramina of Magendie and Luschka*","Cong"
169.11,"Immune thrombocytopenic purpura [ITP]","Blood"
286.4,"Dysthymic disorder","Mental"
232.23,"Niacin deficiency [Vitamin B3]","Metab"
284.1,"Suicidal ideations","Mental"
480,"Pulmonary edema","Resp"
232.2,"Vitamin B group deficiency","Metab"
287.2,"Schizoaffective disorder","Mental"
287.5,"Drug-induced psychotic disorder","Mental"
247.12,"Copper deficiency*","Metab"
474.1,"Emphysema","Resp"
471.3,"Hypertrophy of nasal turbinates","Resp"
401.3,"Hypertensive chronic kidney disease","Cardio"
413,"Heart valve disorders","Cardio"
413.2,"Aortic valve disorders","Cardio"
413.1,"Mitral valve disorders","Cardio"
413.4,"Pulmonary valve disorders","Cardio"
413.3,"Tricuspid valve disorders","Cardio"
413.6,"Heart valve replaced","Cardio"
414.1,"Hypertrophic cardiomyopathy","Cardio"
414.2,"Dilated cardiomyopathy*","Cardio"
411.3,"Cardiac tamponade","Cardio"
169.1,"Thrombocytopenia","Blood"
169.2,"Qualitative platelet defects","Blood"
416.42,"Left bundle branch block","Cardio"
416.43,"Right bundle branch block","Cardio"
930.1,"Congenital abnormalities of uterus complicating pregnancy","Preg"
416.12,"Ventricular tachycardia","Cardio"
540.2,"Acute hepatitis","GI"
542.2,"Fatty liver disease (FLD)","GI"
417.2,"Tachycardia","Cardio"
443.3,"Arterial fibromuscular dysplasia*","Cardio"
430.1,"Nontraumatic subarachnoid hemorrhage","Cardio"
430.2,"Nontraumatic intracerebral hemorrhage","Cardio"
430.3,"Nontraumatic subdural hemorrhage","Cardio"
433.1,"Occlusion and stenosis of cerebral arteries","Cardio"
433.21,"Carotid artery stenosis","Cardio"
440.2,"Arterial embolism and thrombosis","Cardio"
431,"Stroke and transient cerebral ischemic attacks","Cardio"
431.1,"Stroke","Cardio"
537.2,"Hemoperitoneum","GI"
424.1,"Left heart failure","Cardio"
414.5,"Ischemic cardiomyopathy*","Cardio"
524.3,"Megacolon (other than Hirschsprung's)","GI"
440,"Embolism and thrombosis","Cardio"
440.1,"Venous thromboembolism","Cardio"
438.1,"Aortic aneurysm and ectasia","Cardio"
438.2,"Aneurysm of iliac or artery of lower extremity","Cardio"
438.3,"Aneurysm of carotid artery","Cardio"
438.4,"Arterial dissection","Cardio"
440.11,"Deep vein thrombosis [DVT]","Cardio"
436.4,"Atheroembolism","Cardio"
444.13,"Esophageal varix","Cardio"
704.9,"Allergic purpura [Henoch-Schoenlein purpura]","Musc/Skel"
438.42,"Carotid artery dissection","Cardio"
444.11,"Varicose veins of lower extremities","Cardio"
444.14,"Vulval varices","Cardio"
765,"Congenital malformations of intestine","Cong"
177.4,"Lymphedema","Blood"
177.41,"Hereditary lymphedema","Blood"
440.14,"Budd-Chiari syndrome","Cardio"
179.31,"Severe combined immunodeficiency due to adenosine deaminase deficiency*","Blood"
401.6,"Secondary hypertension","Cardio"
402,"Elevated blood pressure reading without diagnosis of hypertension","Cardio"
520.1,"Hernia of the abdominal wall","GI"
522.11,"Crohn's disease","GI"
504.31,"Aggressive periodontitis","GI"
505,"Oral cysts","GI"
734.4,"Alveolitis of jaw","Musc/Skel"
751.3,"Encephalocele","Cong"
734.5,"Inflammatory conditions of jaw","Musc/Skel"
734.9,"Jaw pain","Musc/Skel"
770.32,"Doubling of uterus","Cong"
770.31,"Aplasia and hypoplasia of uterus","Cong"
770.3,"Congenital anomalies of uterus","Cong"
506.3,"Sialoadenitis","GI"
770.2,"Congenital malformations of fallopian tube and broad ligament","Cong"
770.11,"Congenital absence of ovary*","Cong"
758.6,"Congenital anomalies of nose","Cong"
758.61,"Choanal atresia","Cong"
758.62,"Fissured, notched and cleft nose*","Cong"
777.1,"Congenital malformations of larynx","Cong"
767.1,"Annular pancreas","Cong"
507.5,"Oral submucosal fibrosis","GI"
758.63,"Agenesis and underdevelopment of nose*","Cong"
766,"Congenital malformations of gallbladder, bile ducts and liver","Cong"
765.5,"Intestinal duplication*","Cong"
762.2,"Congenital dilatation of esophagus","Cong"
806,"Chills (without fever)","Signs/Symptoms"
812.2,"Angioneurotic edema","Signs/Symptoms"
535,"Intestinal or peritoneal adhesions","GI"
750.4,"Congenital cerebral cysts*","Cong"
515,"Heartburn and epigastric pain","GI"
121.21,"Chronic lymphoid leukemia","Neoplasms"
510.1,"Achalasia of cardia","GI"
751.1,"Spina bifida","Cong"
751,"Neural tube defects and congenital disorders of the spinal cord","Cong"
750,"Congenital malformations of brain","Cong"
540.1,"Chronic hepatitis","GI"
542.3,"Hepatic failure","GI"
750.12,"Anencephaly","Cong"
750.11,"Microcephaly","Cong"
530,"Disease of anus and rectum","GI"
552.2,"Obstruction of bile duct","GI"
552.1,"Cholangitis","GI"
552,"Other diseases of biliary tract","GI"
557.8,"Hemorrhage of rectum and anus","GI"
107,"Malignant neoplasm of male genitalia","Neoplasms"
912,"Venous complications in pregnancy","Preg"
546.2,"Abscess of liver","GI"
912.3,"Hemorrhoids in pregnancy","Preg"
529.5,"Constipation","GI"
532,"Other disorders of the intestines","GI"
522.7,"Ulceration of the lower GI tract","GI"
525,"Intestinal malabsorption","GI"
414.8,"Restrictive cardiomyopathy*","Cardio"
424.4,"Combined systolic and diastolic heart failure","Cardio"
165.11,"Sickle cell anemia (Hb-SS)","Blood"
424.3,"Diastolic heart failure","Cardio"
529,"Symptoms involving digestive system","GI"
165.12,"Hemoglobin C disease","Blood"
165.3,"Hemoglobin C trait [Sickle-cell trait]","Blood"
580.1,"Acute nephritic syndrome","Genitourinary"
581.33,"Stricture or kinking of ureter","Genitourinary"
580.2,"Chronic nephritic syndrome","Genitourinary"
583,"Chronic kidney disease","Genitourinary"
581.1,"Pyelonephritis","Genitourinary"
581.3,"Obstructive and reflux uropathy","Genitourinary"
581.31,"Hydronephrosis","Genitourinary"
581.32,"Hydroureter","Genitourinary"
584,"Renal failure","Genitourinary"
580.3,"Nephrotic syndrome","Genitourinary"
582,"Acute kidney failure","Genitourinary"
581,"Renal tubulo-interstitial diseases","Genitourinary"
580.4,"Nephritis and nephropathy, not specified as acute or chronic","Genitourinary"
586.1,"Small kidney","Genitourinary"
586.6,"Nephroptosis","Genitourinary"
586.2,"Cyst of kidney","Genitourinary"
585.1,"Renal colic","Genitourinary"
592.11,"Acute cystitis","Genitourinary"
162.81,"Drug-induced pancytopenia","Blood"
592.13,"Chronic interstitial cystitis","Genitourinary"
592.12,"Chronic cystitis","Genitourinary"
592.21,"Urethral syndrome","Genitourinary"
203,"Metabolic syndrome [Dysmetabolic syndrome X]","Endo"
293.4,"Polyphagia","Mental"
586.3,"Vascular disorders of kidney","Genitourinary"
666.2,"Idiopathic urticaria","Derm"
586.4,"Hypertrophy of kidney","Genitourinary"
597.1,"Urethral stricture","Genitourinary"
597.8,"Urethral hypermobility/ISD","Genitourinary"
593.1,"Gross hematuria","Genitourinary"
594.2,"Dysuria","Genitourinary"
594.3,"Urinary incontinence","Genitourinary"
594.4,"Frequency of urination and polyuria","Genitourinary"
594.5,"Oliguria and anuria","Genitourinary"
599.7,"Urethral discharge","Genitourinary"
594.6,"Urinary urgency","Genitourinary"
230.7,"Adult failure to thrive","Metab"
601.11,"Acute prostatitis","Genitourinary"
601.12,"Chronic prostatitis","Genitourinary"
602.3,"Dysplasia of prostate","Genitourinary"
603.1,"Hydrocele","Genitourinary"
610.2,"Fibroadenosis of breast","Genitourinary"
610.3,"Fibrosclerosis of breast","Genitourinary"
614.1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)","Genitourinary"
614.3,"Pelvic inflammatory disease (PID)","Genitourinary"
614.31,"Acute inflammatory pelvic disease","Genitourinary"
614.33,"Pelvic inflammatory disease, NOS","Genitourinary"
614.32,"Chronic inflammatory pelvic disease","Genitourinary"
614.4,"Inflammatory diseases of uterus, except cervix","Genitourinary"
614.5,"Inflammatory disease of cervix, vagina, and vulva","Genitourinary"
614.51,"Cervicitis and endocervicitis","Genitourinary"
614.52,"Vaginitis and vulvovaginitis","Genitourinary"
614.53,"Cyst or abscess of Bartholin's gland","Genitourinary"
614.54,"Abscess or ulceration of vulva","Genitourinary"
618.2,"Uterine/Uterovaginal prolapse","Genitourinary"
618.5,"Prolapse of vaginal vault after hysterectomy","Genitourinary"
618.6,"Vaginal enterocele, congenital or acquired","Genitourinary"
626.4,"Menorrhagia/Excessive and frequent menstruation","Genitourinary"
230.5,"Early satiety","Metab"
626.13,"Irregular menstrual cycle","Genitourinary"
626.14,"Irregular menstrual bleeding","Genitourinary"
626.2,"Dysmenorrhea","Genitourinary"
230.4,"Cachexia","Metab"
230.3,"Anorexia","Metab"
626.21,"Mittelschmerz","Genitourinary"
625.1,"Dyspareunia","Genitourinary"
622.2,"Mucous polyp of cervix","Genitourinary"
619.1,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament","Genitourinary"
619.2,"Disorders of uterus, NEC","Genitourinary"
619.3,"Noninflammatory disorders of cervix","Genitourinary"
619.4,"Noninflammatory disorders of vagina","Genitourinary"
619.5,"Noninflammatory disorders of vulva and perineum","Genitourinary"
624.1,"Dystrophy of female genital tract","Genitourinary"
624.2,"Atrophy of female genital tract","Genitourinary"
923,"Maternal hypotension syndrome","Preg"
901.2,"Hydatidiform mole","Preg"
901.3,"Missed abortion","Preg"
908.1,"Preeclampsia and eclampsia","Preg"
924,"Cardiovascular disorders complicating pregnancy, childbirth, or the puerperium","Preg"
926.11,"Postpartum depression*","Preg"
123.1,"Multiple myeloma","Neoplasms"
910.1,"Excessive weight gain in pregnancy","Preg"
280.82,"Other psychoactive substance dependence","Mental"
932.1,"Abnormality in fetal heart rate or rhythm","Preg"
220.2,"Abscess of thymus","Endo"
208.2,"Hyperparathyroidism","Endo"
674.1,"Hypopigmentation","Derm"
674.2,"Hypepigmentation","Derm"
675.1,"Circumscribed scleroderma","Derm"
675.2,"Striae atrophicae","Derm"
200.21,"Diffuse goiter","Endo"
200.22,"Uninodular goiter [single thyroid nodule]","Endo"
674.23,"Acanthosis nigricans","Derm"
200.25,"Dyshormogenetic goiter","Endo"
686.1,"Pressure ulcer","Derm"
686.2,"Non-pressure chronic ulcer","Derm"
200.11,"Congenital hypohthyroidism","Endo"
669,"Neutrophilic and Eosinophilic dermatoses*","Derm"
684.8,"Abnormalities of the hair","Derm"
682.4,"Acne","Derm"
701.11,"Acute/subacute osteomyelitis","Musc/Skel"
701.12,"Chronic osteomyelitis","Musc/Skel"
472.4,"Laryngeal spasm","Resp"
230.11,"Severe protein-calorie malnutrition","Metab"
753.81,"Congenital malformation of vitreous humor","Cong"
753.82,"Congenital malformation of retina","Cong"
753.52,"Rieger's anomaly*","Cong"
706.2,"Ankylosing spondylitis","Musc/Skel"
753.24,"Congenital displaced lens (Ectopia lentis)","Cong"
707.1,"Villonodular synovitis","Musc/Skel"
707.2,"Traumatic arthropathy","Musc/Skel"
707.9,"Monoarthritis","Musc/Skel"
713.1,"Hemarthrosis","Musc/Skel"
713,"Symptoms related to joints","Musc/Skel"
463.22,"Allergic rhinitis due to food","Resp"
726.3,"Malunion of fracture","Musc/Skel"
464.1,"Acute nasopharyngitis","Resp"
727.4,"Hyperostosis of skull","Musc/Skel"
280.62,"Other stimulant dependence","Mental"
230.1,"Protein-calorie malnutrition","Metab"
765.2,"Hirschsprung's disease","Cong"
765.3,"Intestinal atresia","Cong"
426,"Other heart disorders in diseases NEC","Cardio"
425,"Cardiomegaly","Cardio"
424.5,"Right heart failure*","Cardio"
